Comment,Designator,Footprint,LCSC Part #
470uF 35V elec 105C,C1,CP_Elec_10x10.5,C976030
100uF 35V elec,C2,CP_Elec_6.3x7.7,C19270708
100nF 50V X7R,"C3,C4,C5,C6,C9,C14,C17,C18,C23,C25",C_0603_1608Metric,C1591
22uF 16V X5R,"C7,C8,C10,C11",C_0805_2012Metric,C296720
10uF 50V X5R,"C12,C13,C15",C_0805_2012Metric,C440198
1uF 50V X5R,"C19,C20",C_0603_1608Metric,C15849
10uF 25V X5R,"C21,C22",C_0603_1608Metric,C96446
1N4148WT-7 switching diode,"D1,D13",D_SOD-523,C83482
SMBJ18CA TVS 18V bidirectional,D2,D_SMB,C2938922
CUS10S30 Schottky 30V 1A,"D3,D4",D_SOD-323,C27636107
BZX84-C16 zener 16V,D5,SOT-23,C550938
CDSOT23-SM712 RS-485 TVS,D6,SOT-23,C404012
LED red 0201,"D7,D9,D11",LED_0201_0603Metric,C52675906
PESD3V3S1UB ESD 3.3V,D8,D_SOD-523,C2912529
WS2812B-B/T RGB LED,D15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
USB-C receptacle 16P,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5184243
6.8uH inductor,L1,L_Changjiang_FXL0630,C5349706
5.6uH inductor,L2,L_Changjiang_FXL0630,C475914
10uH 4.5A molded inductor,L3,L_Changjiang_FXL0630,C167223
SS8050 NPN 1.5A,"Q2,Q3,Q5",SOT-23,C2150
100k 1%,"R1,R3,R5",R_0603_1608Metric,C25803
13.7k 1%,R2,R_0603_1608Metric,C22793
22.1k 1%,R4,R_0603_1608Metric,C2960862
5.1k 1%,"R6,R7",R_0603_1608Metric,C23186
10k 1%,"R8,R9,R10,R15,R22,R24,R25",R_0603_1608Metric,C25804
4.7k 1%,"R14,R18,R40",R_0603_1608Metric,C23162
120R 1%,R23,R_0603_1608Metric,C22787
330R 1%,"R26,R27,R37,R42",R_0603_1608Metric,C23138
1k 1%,R38,R_0603_1608Metric,C21190
ESP32-WROOM-32D-N16 module,U1,ESP32-WROOM-32D,C529578
LMR51430 buck 4-36V 3A,"U2,U3",SOT-23-6,C5185863
USBLC6-2SC6 USB ESD array,U4,SOT-23-6,C7519
CH340C USB-UART,U6,SOIC-16_3.9x9.9mm_P1.27mm,C84681
ULN2803A Darlington driver,U7,SOIC-18W_7.5x11.6mm_P1.27mm,C845537
MAX3485AEASA+T RS-485 transceiver,U9,SOIC-8_3.9x4.9mm_P1.27mm,C94609
