Item,Designator,Qty,Description,Manufacturer Part Number,Package/Footprint,LCSC
1,C1,1,470uF 35V elec 105C,RVT1V471M1010 470UF 35V,CP_Elec_10x10.5,C976030
2,C2,1,100uF 35V elec,JBLM2101M035C070RTM 100UF 35V,CP_Elec_6.3x7.7,C19270708
3,"C3,C4,C5,C6,C9,C14,C17,C18,C23,C25",10,100nF 50V X7R,CL10B104KB8NNNC,C_0603_1608Metric,C1591
4,"C7,C8,C10,C11",4,22uF 16V X5R,CL21A226KOQNNNE,C_0805_2012Metric,C296720
5,"C12,C13,C15",3,10uF 50V X5R,GRM21BR61H106KE43L,C_0805_2012Metric,C440198
6,"C19,C20",2,1uF 50V X5R,CL10A105KB8NNNC,C_0603_1608Metric,C15849
7,"C21,C22",2,10uF 25V X5R,CL10A106MA8NRNC,C_0603_1608Metric,C96446
8,"D1,D13",2,1N4148WT-7 switching diode,1N4148WT-7,D_SOD-523,C83482
9,D2,1,SMBJ18CA TVS 18V bidirectional,SMBJ18CA,D_SMB,C2938922
10,"D3,D4",2,CUS10S30 Schottky 30V 1A,CUS10S30,D_SOD-323,C27636107
11,D5,1,BZX84-C16 zener 16V,"BZX84-C16,235",SOT-23,C550938
12,D6,1,CDSOT23-SM712 RS-485 TVS,CDSOT23-SM712,SOT-23,C404012
13,"D7,D9,D11",3,LED red 0201,CT-0201URC-P4,LED_0201_0603Metric,C52675906
14,D8,1,PESD3V3S1UB ESD 3.3V,PESD3V3S1UB,D_SOD-523,C2912529
15,D15,1,WS2812B-B/T RGB LED,WS2812B-B/T,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
16,J5,1,USB-C receptacle 16P,USB4105-GF-A-120,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5184243
17,L1,1,6.8uH inductor,APH0630T6R8M,L_Changjiang_FXL0630,C5349706
18,L2,1,5.6uH inductor,FXL0630-5R6-M,L_Changjiang_FXL0630,C475914
19,L3,1,10uH 4.5A molded inductor,FXL0630-100-M,L_Changjiang_FXL0630,C167223
20,"Q2,Q3,Q5",3,SS8050 NPN 1.5A,SS8050(RANGE:200-350),SOT-23,C2150
21,"R1,R3,R5",3,100k 1%,0603WAF1003T5E,R_0603_1608Metric,C25803
22,R2,1,13.7k 1%,0603WAF1372T5E,R_0603_1608Metric,C22793
23,R4,1,22.1k 1%,FRC0603F2212TS,R_0603_1608Metric,C2960862
24,"R6,R7",2,5.1k 1%,0603WAF5101T5E,R_0603_1608Metric,C23186
25,"R8,R9,R10,R15,R22,R24,R25",7,10k 1%,0603WAF1002T5E,R_0603_1608Metric,C25804
26,"R14,R18,R40",3,4.7k 1%,0603WAF4701T5E,R_0603_1608Metric,C23162
27,R23,1,120R 1%,0603WAF1200T5E,R_0603_1608Metric,C22787
28,"R26,R27,R37,R42",4,330R 1%,0603WAF3300T5E,R_0603_1608Metric,C23138
29,R38,1,1k 1%,0603WAF1001T5E,R_0603_1608Metric,C21190
30,U1,1,ESP32-WROOM-32D-N16 module,ESP32-WROOM-32D-N16,ESP32-WROOM-32D,C529578
31,"U2,U3",2,LMR51430 buck 4-36V 3A,LMR51430XDDCR,SOT-23-6,C5185863
32,U4,1,USBLC6-2SC6 USB ESD array,USBLC6-2SC6,SOT-23-6,C7519
33,U6,1,CH340C USB-UART,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,C84681
34,U7,1,ULN2803A Darlington driver,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,C845537
35,U9,1,MAX3485AEASA+T RS-485 transceiver,MAX3485AEASA+T,SOIC-8_3.9x4.9mm_P1.27mm,C94609
