Item,Designator,Qty,Description,Manufacturer Part Number,Manufacturer,Footprint,Type,LCSC Part #,Comment
1,C1,1,470uF 35V elec 105C,RVT1V471M1010 470UF 35V,DMBJ,CP_Elec_10x10.5,SMD,C976030,
2,C2,1,100uF 35V elec,JBLM2101M035C070RTM 100UF 35V,DMBJ,CP_Elec_6.3x7.7,SMD,C19270708,
3,"C3,C4,C5,C6,C9,C14,C17,C18,C23,C25",10,100nF 50V X7R,CL10B104KB8NNNC,Samsung Electro-Mechanics,C_0603_1608Metric,SMD,C1591,
4,"C7,C8,C10,C11",4,22uF 16V X5R,CL21A226KOQNNNE,Samsung Electro-Mechanics,C_0805_2012Metric,SMD,C296720,
5,"C12,C13,C15",3,10uF 50V X5R,GRM21BR61H106KE43L,Murata,C_0805_2012Metric,SMD,C440198,
6,"C19,C20",2,1uF 50V X5R,CL10A105KB8NNNC,Samsung Electro-Mechanics,C_0603_1608Metric,SMD,C15849,
7,"C21,C22",2,10uF 25V X5R,CL10A106MA8NRNC,Samsung Electro-Mechanics,C_0603_1608Metric,SMD,C96446,
8,"D1,D13",2,1N4148WT-7 switching diode,1N4148WT-7,Diodes Incorporated,D_SOD-523,SMD,C83482,
9,D2,1,SMBJ18CA TVS 18V bidirectional,SMBJ18CA,RUILON,D_SMB,SMD,C2938922,
10,"D3,D4",2,CUS10S30 Schottky 30V 1A,CUS10S30,DOWO,D_SOD-323,SMD,C27636107,
11,D5,1,BZX84-C16 zener 16V,"BZX84-C16,235",Nexperia,SOT-23,SMD,C550938,
12,D6,1,CDSOT23-SM712 RS-485 TVS,CDSOT23-SM712,Bourns,SOT-23,SMD,C404012,
13,"D7,D9,D11",3,LED red 0201,CT-0201URC-P4,CHONGTIAN,LED_0201_0603Metric,SMD,C52675906,
14,D8,1,PESD3V3S1UB ESD 3.3V,PESD3V3S1UB,TECH PUBLIC,D_SOD-523,SMD,C2912529,
15,D15,1,WS2812B-B/T RGB LED,WS2812B-B/T,Worldsemi,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,SMD,C2761795,
16,J5,1,USB-C receptacle 16P,USB4105-GF-A-120,GCT,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,SMD,C5184243,
17,L1,1,6.8uH inductor,APH0630T6R8M,APV,L_Changjiang_FXL0630,SMD,C5349706,
18,L2,1,5.6uH inductor,FXL0630-5R6-M,Changjiang Microelectronics,L_Changjiang_FXL0630,SMD,C475914,
19,L3,1,10uH 4.5A molded inductor,FXL0630-100-M,cjiang (Changjiang Microelectronics Tech),L_Changjiang_FXL0630,SMD,C167223,"CORRECTED - schematic LCSC/MPN still point at the old 22uH ZEMS0420-220M (C41438718, 4.4x4.2mm) after the change to 10uH 4.5A on the FXL0630 7x6.6mm footprint"
20,"Q2,Q3,Q5",3,SS8050 NPN 1.5A,SS8050(RANGE:200-350),Changjiang Microelectronics,SOT-23,SMD,C2150,
21,"R1,R3,R5",3,100k 1%,0603WAF1003T5E,UNI-ROYAL,R_0603_1608Metric,SMD,C25803,
22,R2,1,13.7k 1%,0603WAF1372T5E,UNI-ROYAL,R_0603_1608Metric,SMD,C22793,
23,R4,1,22.1k 1%,FRC0603F2212TS,FOJAN,R_0603_1608Metric,SMD,C2960862,
24,"R6,R7",2,5.1k 1%,0603WAF5101T5E,UNI-ROYAL,R_0603_1608Metric,SMD,C23186,
