Designator,Mid X,Mid Y,Layer,Rotation
C1,184.2000,-110.7500,Top,180.0000
C2,182.9500,-101.5000,Top,180.0000
C3,189.2500,-102.5000,Top,270.0000
C4,166.0000,-86.2500,Top,180.0000
C5,170.0000,-82.7500,Top,180.0000
C6,171.0000,-73.5000,Top,180.0000
C7,174.0000,-82.7500,Top,180.0000
C8,174.0000,-84.7500,Top,180.0000
C9,176.7250,-67.3000,Top,180.0000
C10,176.4500,-63.5000,Top,0.0000
C11,176.5000,-65.5000,Top,0.0000
C12,166.0000,-88.0000,Top,180.0000
C13,173.5000,-66.5000,Top,90.0000
C14,209.5000,-72.2500,Top,0.0000
C15,176.8450,-72.8000,Top,0.0000
C17,193.0000,-64.2500,Top,0.0000
C18,192.5000,-111.5000,Top,270.0000
C19,203.0250,-70.2500,Top,180.0000
C20,205.7500,-68.7400,Top,0.0000
C21,209.5000,-70.2500,Top,0.0000
C22,203.7500,-116.7500,Top,180.0000
C23,205.2000,-51.0000,Top,0.0000
C25,173.7250,-61.0000,Top,0.0000
D1,196.4500,-64.4750,Top,0.0000
D2,164.6500,-103.2000,Top,90.0000
D3,170.9500,-71.7500,Top,180.0000
D4,173.7500,-73.3000,Top,270.0000
D5,175.0000,-98.2500,Top,180.0000
D6,198.4500,-62.1375,Top,270.0000
D7,178.2500,-91.5000,Top,0.0000
D8,176.4750,-61.0000,Top,0.0000
D9,173.0000,-92.5000,Top,180.0000
D11,178.2500,-93.5000,Top,0.0000
D13,193.8200,-71.7250,Top,180.0000
D15,195.7500,-68.0000,Top,0.0000
J5,207.5000,-108.1400,Top,90.0000
L1,168.5000,-78.2500,Top,0.0000
L2,168.7500,-66.2500,Top,90.0000
L3,168.3000,-95.8500,Top,0.0000
Q2,199.2500,-96.9375,Top,90.0000
Q3,195.5000,-96.9375,Top,90.0000
Q5,189.9500,-75.1875,Top,90.0000
R1,174.2500,-87.2500,Top,270.0000
R2,172.7500,-87.2500,Top,90.0000
R3,178.4750,-70.0500,Top,270.0000
R4,179.5000,-73.2500,Top,270.0000
R5,176.6000,-100.7500,Top,0.0000
R6,201.5000,-104.0000,Top,90.0000
R7,206.2500,-115.0000,Top,270.0000
R8,195.5000,-100.0000,Top,0.0000
R9,199.0000,-100.0000,Top,180.0000
R10,206.0750,-70.2500,Top,180.0000
R14,176.6750,-74.7500,Top,0.0000
R15,194.7500,-94.2500,Top,0.0000
R18,186.5750,-75.5000,Top,0.0000
R22,206.8000,-56.0000,Top,180.0000
R23,209.8250,-56.0000,Top,0.0000
R24,170.7250,-61.0000,Top,0.0000
R25,189.7500,-97.0000,Top,270.0000
R26,201.5000,-51.0000,Top,0.0000
R27,206.2500,-53.5000,Top,270.0000
R37,175.5000,-91.0000,Top,180.0000
R38,175.5000,-92.5000,Top,0.0000
R40,175.5000,-94.0000,Top,180.0000
R42,200.2500,-68.2500,Top,90.0000
U1,202.5200,-82.9000,Top,270.0000
U2,169.7500,-85.2500,Top,0.0000
U3,175.6125,-69.9500,Top,0.0000
U4,197.0000,-115.0000,Top,0.0000
U6,197.0000,-108.0000,Top,180.0000
U7,184.3500,-83.0800,Top,180.0000
U9,202.5000,-55.5250,Top,90.0000
